age_block,support_share,positive_share,near_zero_share,negative_share,mean_net_term_plp
20-29,1.0000000000000002,0.28928014876035657,0.7019934654117114,0.008726385827931936,2.2712108595070815
30-39,1.0,0.153223446631151,0.8070036321309266,0.03977292123792234,1.1383470730835241
40-49,0.9999999999999997,0.12339100184785105,0.6160701873316429,0.2605388108205063,0.8842287650905069
50-59,1.0,0.09317173111401318,0.23050634773588682,0.6763219211500999,0.494601888701391
60-69,1.0,0.0,0.3259450853211844,0.6740549146788156,-0.19390238251943312
70-79,1.0000000000000002,0.06723228230031576,0.26481390283410916,0.6679538148655749,0.2300072324047778
80-84,1.0,0.5651037190243785,0.0,0.4348962809756216,4.06337559602264
