system,support,unit,anchors,wedge,certified,lower,upper,source_variable
Age-only,full,implicit dollars,none,none,No,-0.04044,0.15093,"policy_ranking_robustness_summary: Age-only current matching, Full maintained support"
Age-only,common,implicit dollars,none,none,No,-0.00967,0.07886,"policy_ranking_robustness_summary: Age-only current matching, Common support only"
Verified cell,common,current goods,fixed,KKT,"Yes, conditional",-0.00819,-0.00298,maintained_graph.fixed_anchor_interval
Verified cell,common,current goods,free,KKT,No,-inf,inf,maintained_graph.free_anchor_interval
Verified cell,common,current goods,outer,KKT,No,-2.16877,2.1576,current_goods_outer_private_slope_envelope
Largest common component,common comp.,current goods,within comp.,KKT,"Yes, within comp.",4e-05,0.00082,maintained_graph.largest_common_component_interval
Unit-rescaled graph,rebuilt,age-state,fixed,KKT,No,-0.48701,0.50273,unit_sensitivity_protocol_summary: theta=1.00
Richer-state system,rebuilt,current goods,fixed,KKT,No,-0.03237,0.0677,liquid_illiquid_map_comparison_summary: tercile-plus-earnings interval
