social_rate,mean_eta_age20_over_age65,mean_eta_age20_over_age75,mean_eta_age20_over_age85
0.0,49.53550018057222,66.21155774316473,97.42867359363223
0.01,31.655904887053723,38.305245270630785,51.02670136773443
0.02,20.319303784800823,22.28047055011511,26.8952524759994
0.03,13.09909949523878,13.02826089183762,14.264849177476439
0.0344,10.812684184249816,10.305418963176342,10.812684184249816
