comparison_system,one_step_overlap_share,target_union_support_share,target_a_support_share,target_b_support_share,kappa_mean_plp,kappa_max_plp,point_log_ratio,graph_lower_log_ratio_k2,graph_upper_log_ratio_k2
Exact current $k$ $\times$ earnings,0.8151276142784162,0.9886614400534209,0.9818988857517552,0.9930033323197343,0.0,0.0,-1.7958756807862861,-2.960172214030247,1.2558019702972314
Illiquid-tercile $\times$ earnings,0.89462830259343,0.9917080532785525,0.9843376456934806,0.9964402172310572,6.710843230980757,28.472842674410938,-0.27060171152953755,-3.236898166638822,6.7702454944952155
Earnings only,0.9349279115748366,0.9938341669274897,0.9843376456934806,0.9999314003489895,7.7585376599743086,32.57709331811587,1.744534897582462,-4.116019156747565,7.973019886244724
Age only,0.9531214427220772,1.0,1.0,1.0,8.242455496959519,34.70564457751513,0.9560224563465887,-1.524018319105205,6.917593662830735
