label,support_label,support_share,target_a_support_share,target_b_support_share,kappa_mean_plp,kappa_max_plp,target_a_score,target_b_score,log_ratio,lower_log_ratio,upper_log_ratio
Age-only current matching,Full maintained support,1.0,1.0,1.0,0.27050350926440825,4.6065918869134785,1.1348703244867022,1.1188919358482938,0.014179540260993153,-0.13623891635525537,1.1018575067505751
Age-only current matching,Common support only,0.6411203978681306,0.23130114225758047,0.841407328311987,0.27050350926440825,4.6065918869134785,1.063721579470135,1.0099490847840558,0.05187376476907224,-0.018014930780928202,0.4070174634449038
Verified current-cell map,Common support only,0.6411203978681306,0.23130114225758047,0.841407328311987,0.0,0.0,1.0213042915756254,1.012396106318982,0.008760623973886926,0.0008970562006973439,0.014435948102501955

decomposition_component,value
support_exclusion,0.037694224508079084
within_support_rematching,-0.043113140795185315
total_change,-0.005418916287106227
