label,support_label,support_share,target_a_support_share,target_b_support_share,alternative_support_label,alternative_support_share,alternative_target_a_support_share,alternative_target_b_support_share,baseline_edge_count,baseline_component_count,alternative_edge_count,alternative_component_count,baseline_log_ratio,baseline_lower_log_ratio,baseline_upper_log_ratio,alternative_log_ratio,alternative_lower_log_ratio,alternative_upper_log_ratio
Warm-up pair: ages 20-29 vs. 40-49,Common support only,0.6411203978681306,0.23130114225758047,0.841407328311987,Recomputed support,0.9901921109572563,1.0,0.9853987978964084,315005,77,321545,37,0.008760623973886926,0.0008970562006973439,0.014435948102501955,0.005313435875133911,-0.5617843025955592,0.5014391741023392
Nearby pair: ages 25-34 vs. 45-54,Common support only,0.7471985722050541,0.3705668342920569,0.9338298687426451,Recomputed support,0.9894638165230754,1.0,0.9842428502982092,315005,77,321545,37,-0.0048064348389294615,-0.007987661747986546,-0.0029572028662497017,0.04075754053664113,-0.48701161844581076,0.5027256573530244
