specification,comparison_system,asset_size,age_efficiency_mode,earnings_state_count,overall_support_overlap_share,weighted_mean_abs_log_gap,weighted_p95_abs_log_gap,weighted_p99_abs_log_gap,spread_r,conditional_wasserstein_r
"Baseline: flat efficiency, 2 earnings states",natural,800,flat,2,1.0,0.00043970420849725843,0.0017492270631350726,0.008400840647894495,3.026521792352143,5.230782950121662
"Baseline: flat efficiency, 2 earnings states",standardized,800,flat,2,1.0,0.00043970420849725843,0.0017492270631350726,0.008400840647894495,3.026521792352143,5.230782950121662
"Hump efficiency, 2 earnings states",natural,600,hump,2,0.815672883290803,0.006121554259212504,0.03516209235192408,0.036510782115530056,3.26800353385306,9.335205431703246
"Hump efficiency, 2 earnings states",standardized,600,hump,2,0.815672883290803,0.006121554259212504,0.03516209235192408,0.036510782115530056,3.26800353385306,9.335205431703246
"Hump efficiency, 5 earnings states",natural,450,hump,5,0.7144779294259721,0.009241419447667838,0.03536644597325455,0.03725287434907115,4.042595667460331,3.2037792313481184
"Hump efficiency, 5 earnings states",standardized,450,hump,5,0.9298256224315964,0.0023591398287584704,0.01294675872563334,0.03476182555264364,4.807403235011485,15.776856039540794
