target_pair,union_support_share,target_a_support_share,target_b_support_share,common_support_log_ratio,full_target_lower_log_ratio,full_target_upper_log_ratio,target_a_monotonicity_min_share,target_b_monotonicity_min_share,target_a_max_positive_diff,target_b_max_positive_diff
Warm-up pair,0.6411203978681307,0.23130114225758044,0.8414073283119872,0.008760623973887147,-0.10552336397420552,-0.07659887166522512,0.9933184855233853,1.0,0.011237702192328225,0.0
Nearby pair,0.7471985722050539,0.3705668342920569,0.9338298687426451,-0.004806434838929015,-0.029019360666691522,-0.024019392822511237,0.9977728285077951,1.0,0.0032172601967550563,0.0
