social_rate,gross_social_factor,mean_required_ratio,peak_age_average_ratio,spread,conditional_wasserstein,epsilon_adjusted_spread,epsilon_adjusted_conditional_wasserstein
0.0,1.0,1.0467124899377138,1.1167120264286672,5.123457797833804,8.638936495925295,5.074876574625071,8.645064676001395
0.01,1.01,1.0363489999383304,1.1056554717115519,4.506537284937384,7.841738395000141,4.457956061728651,7.840426662550134
0.02,1.02,1.0261887156252096,1.094815712184968,3.895694905470661,6.890600952112943,3.84711368226193,6.878707151197295
0.03,1.03,1.0162257183861296,1.0841864334258906,3.290812058858049,5.774010140237699,3.242230835649317,5.748748316776394
0.0344,1.0344,1.0119030258485247,1.0795746581870336,3.026521792352143,5.230782950121662,3.0236510033852184,5.26715790758595
