object,value
raw_all_mean,1.0118092273691348
raw_all_median,1.0010093484037168
raw_all_p05,0.9844493671753971
raw_all_p95,1.0839067896926924
raw_all_p99,1.0846784621169114
raw_all_max,1.0988652945160742
raw_all_subunit_mass_share,0.4524011305473555
raw_strict_interior_mean,0.9998888580952973
raw_strict_interior_median,0.9995205626918556
raw_strict_interior_p05,0.9837193946382333
raw_strict_interior_p95,1.0166784821379242
raw_strict_interior_p99,1.0270784660218242
raw_strict_interior_max,1.0432060791859579
raw_strict_interior_subunit_mass_share,0.5360505166584004
raw_strict_interior_mean_abs_deviation,0.007036361679707474
raw_strict_interior_p95_abs_deviation,0.02011907028823522
raw_strict_interior_p99_abs_deviation,0.028009122348133388
implemented_mean,1.0119030258485247
implemented_median,1.0
implemented_p95,1.0839067896926924
implemented_p99,1.0846784621169114
implemented_max,1.0988652945160742
strict_interior_mass_share,0.8439524195732644
lower_bound_mass_share,0.15604758042673567
